from,to,session_id,timestamp
competition,track,78,2017-09-22 08:20:29.316000000
track,exit,78,2017-09-22 08:20:29.316000000
coach,track,79,2017-09-22 09:27:05.686000128
track,route,79,2017-09-22 09:27:08.244999936
route,exit,79,2017-09-22 09:27:08.244999936
coach,track,80,2017-09-22 10:20:56.576000000
track,route,80,2017-09-22 10:32:24.768999936
route,track,80,2017-09-22 10:32:29.126000128
track,competition,80,2017-09-22 10:32:31.339000064
competition,coach,80,2017-09-22 10:32:37.588000000
coach,exit,80,2017-09-22 10:32:37.588000000
personal,coach,81,2017-09-22 13:23:19.076000000
coach,track,81,2017-09-22 13:23:23.304999936
track,route,81,2017-09-22 13:23:39.889999872
route,track,81,2017-09-22 13:23:45.532999936
track,route,81,2017-09-22 13:23:53.748000000
route,track,81,2017-09-22 13:23:57.308999936
track,team,81,2017-09-22 13:24:01.520000000
team,track,81,2017-09-22 13:24:13.456999936
track,route,81,2017-09-22 13:46:53.980000000
route,coach,81,2017-09-22 13:47:08.320000000
coach,team,81,2017-09-22 13:51:49.060000000
team,exit,81,2017-09-22 13:51:49.060000000
coach,team,82,2017-09-22 20:22:22.729999872
team,competition,82,2017-09-22 20:22:43.512999936
competition,exit,82,2017-09-22 20:22:43.512999936
coach,competition,83,2017-09-23 07:55:26.228000000
competition,team,83,2017-09-23 07:55:33.619000064
team,exit,83,2017-09-23 07:55:33.619000064
team,competition,84,2017-09-23 09:40:04.600000000
competition,exit,84,2017-09-23 09:40:04.600000000
team,exit,85,2017-09-23 10:17:45.056000000
coach,personal,86,2017-09-23 15:18:11.047000064
personal,coach,86,2017-09-23 15:18:23.208999936
coach,track,86,2017-09-23 15:18:25.360999936
track,exit,86,2017-09-23 15:18:25.360999936
route,track,87,2017-09-23 15:53:08.657999872
track,exit,87,2017-09-23 15:53:08.657999872
track,team,88,2017-09-23 19:32:20.331000064
team,competition,88,2017-09-23 19:32:41.825999872
competition,exit,88,2017-09-23 19:32:41.825999872
competition,team,89,2017-09-24 08:37:14.580000000
team,competition,89,2017-09-24 08:37:18.152999936
competition,exit,89,2017-09-24 08:37:18.152999936
competition,exit,90,2017-09-24 10:22:36.667000064
competition,track,91,2017-09-24 11:40:10.168000000
track,route,91,2017-09-24 12:09:02.599000064
route,track,91,2017-09-24 12:09:07.108999936
track,team,91,2017-09-24 12:09:09.599000064
team,coach,91,2017-09-24 12:09:14.844000000
coach,team,91,2017-09-24 12:09:17.947000064
team,competition,91,2017-09-24 12:09:31.492000000
competition,exit,91,2017-09-24 12:09:31.492000000
competition,team,92,2017-09-24 12:53:45.840999936
team,competition,92,2017-09-24 12:53:51.151000064
competition,badges,92,2017-09-24 12:53:54.737999872
badges,exit,92,2017-09-24 12:53:54.737999872
badges,track,93,2017-09-24 14:44:43.764000000
track,exit,93,2017-09-24 14:44:43.764000000
route,track,94,2017-09-24 15:32:37.380999936
track,team,94,2017-09-24 15:32:39.307000064
team,competition,94,2017-09-24 15:32:48.711000064
competition,coach,94,2017-09-24 15:32:48.715000064
coach,competition,94,2017-09-24 15:32:50.755000064
competition,exit,94,2017-09-24 15:32:50.755000064
competition,exit,95,2017-09-24 15:45:34.684000000
competition,team,96,2017-09-24 17:43:58.603000064
team,competition,96,2017-09-24 17:44:07.265999872
competition,exit,96,2017-09-24 17:44:07.265999872
coach,competition,97,2017-09-24 22:32:06.225999872
competition,exit,97,2017-09-24 22:32:06.225999872
coach,exit,98,2017-09-25 05:59:26.665999872
coach,team,99,2017-09-25 10:06:57.496999936
team,competition,99,2017-09-25 10:07:13.473999872
competition,track,99,2017-09-25 10:31:22.404999936
track,exit,99,2017-09-25 10:31:22.404999936
coach,exit,100,2017-09-08 11:06:39.484000000
coach,exit,101,2017-09-08 11:07:58.520999936
track,route,102,2017-09-08 13:28:39.120000000
route,track,102,2017-09-08 13:28:43.502000128
track,personal,102,2017-09-08 13:29:30.496999936
personal,track,102,2017-09-08 13:29:40.000999936
track,team,102,2017-09-08 13:29:48.073999872
team,coach,102,2017-09-08 13:30:19.460999936
coach,personal,102,2017-09-08 13:31:25.160000000
personal,coach,102,2017-09-08 13:32:15.764000000
coach,exit,102,2017-09-08 13:32:15.764000000
coach,track,103,2017-09-10 07:07:08.556999936
track,coach,103,2017-09-10 07:26:52.414000128
coach,exit,103,2017-09-10 07:26:52.414000128
track,route,104,2017-09-10 11:00:14.135000064
route,coach,104,2017-09-10 11:00:43.367000064
coach,competition,104,2017-09-10 11:01:29.751000064
competition,coach,104,2017-09-10 11:11:41.868000000
coach,competition,104,2017-09-10 11:18:55.855000064
competition,coach,104,2017-09-10 11:19:01.504999936
coach,competition,104,2017-09-10 11:19:25.888000000
competition,coach,104,2017-09-10 11:19:36.588000000
coach,badges,104,2017-09-10 11:19:47.699000064
badges,team,104,2017-09-10 11:20:59.689999872
team,exit,104,2017-09-10 11:20:59.689999872
coach,exit,105,2017-09-10 12:11:14.863000064
coach,competition,106,2017-09-12 07:08:09.329999872
competition,team,106,2017-09-12 07:08:44.260000000
team,competition,106,2017-09-12 07:09:09.416999936
competition,coach,106,2017-09-12 07:09:21.507000064
coach,track,106,2017-09-12 07:09:59.532000000
track,badges,106,2017-09-12 07:10:03.972000000
badges,coach,106,2017-09-12 07:10:28.471000064
coach,exit,106,2017-09-12 07:10:28.471000064
coach,team,107,2017-09-12 09:27:35.384000000
team,exit,107,2017-09-12 09:27:35.384000000
track,coach,108,2017-09-12 10:27:19.566000128
coach,track,108,2017-09-12 10:32:42.398000128
track,route,108,2017-09-12 10:33:12.190000128
route,track,108,2017-09-12 10:33:21.076999936
track,coach,108,2017-09-12 10:33:39.788999936
coach,competition,108,2017-09-12 10:33:41.607000064
competition,coach,108,2017-09-12 10:33:52.267000064
coach,competition,108,2017-09-12 10:34:00.815000064
competition,team,108,2017-09-12 10:34:11.179000064
team,exit,108,2017-09-12 10:34:11.179000064
coach,exit,109,2017-09-12 11:22:20.190000128
coach,personal,110,2017-09-12 16:09:33.972000000
personal,exit,110,2017-09-12 16:09:33.972000000
coach,competition,111,2017-09-13 02:44:02.209999872
competition,coach,111,2017-09-13 02:44:21.516999936
coach,competition,111,2017-09-13 02:44:30.903000064
competition,coach,111,2017-09-13 02:44:37.004000000
coach,routes,111,2017-09-13 02:44:47.652000000
routes,route,111,2017-09-13 02:44:59.438000128
route,routes,111,2017-09-13 02:45:27.364999936
routes,track,111,2017-09-13 02:45:33.452999936
track,competition,111,2017-09-13 02:45:42.984999936
competition,team,111,2017-09-13 02:45:48.651000064
team,personal,111,2017-09-13 02:46:28.172999936
personal,team,111,2017-09-13 02:46:47.936999936
team,exit,111,2017-09-13 02:46:47.936999936
coach,exit,112,2017-09-13 03:27:14.099000064
competition,team,113,2017-09-13 06:40:36.684000000
team,coach,113,2017-09-13 06:41:14.243000064
coach,badges,113,2017-09-13 06:41:39.784000000
badges,routes,113,2017-09-13 06:42:33.816999936
routes,exit,113,2017-09-13 06:42:33.816999936
routes,competition,114,2017-09-13 07:48:08.172000000
competition,team,114,2017-09-13 07:48:15.659000064
team,competition,114,2017-09-13 07:48:36.299000064
competition,team,114,2017-09-13 07:48:53.356000000
team,exit,114,2017-09-13 07:48:53.356000000
coach,exit,115,2017-09-13 10:32:56.480000000
coach,exit,116,2017-09-13 11:39:14.396999936
personal,track,117,2017-09-13 12:15:39.743000064
track,personal,117,2017-09-13 12:15:59.108000000
personal,track,117,2017-09-13 12:16:00.697999872
track,exit,117,2017-09-13 12:16:00.697999872
team,competition,118,2017-09-14 06:47:05.200999936
competition,exit,118,2017-09-14 06:47:05.200999936
competition,team,119,2017-09-14 14:50:00.352999936
team,personal,119,2017-09-14 14:50:27.617999872
personal,bugreport,119,2017-09-14 14:50:36.544000000
bugreport,competition,119,2017-09-14 14:51:18.436000000
competition,team,119,2017-09-14 14:51:25.724000000
team,coach,119,2017-09-14 14:52:50.816999936
coach,team,119,2017-09-14 14:53:15.270000128
team,track,119,2017-09-14 14:53:30.448999936
track,routes,119,2017-09-14 14:53:37.204000000
routes,route,119,2017-09-14 14:53:50.163000064
route,routes,119,2017-09-14 14:54:05.284999936
routes,coach,119,2017-09-14 14:54:59.577999872
coach,personal,119,2017-09-14 14:55:36.043000064
personal,bugreport,119,2017-09-14 14:55:45.113999872
bugreport,coach,119,2017-09-14 15:02:02.492000000
coach,exit,119,2017-09-14 15:02:02.492000000
bugreport,exit,120,2017-09-14 20:35:17.075000064
coach,exit,121,2017-09-14 21:15:47.377999872
bugreport,team,122,2017-09-15 07:10:42.448000000
team,competition,122,2017-09-15 07:11:20.507000064
competition,coach,122,2017-09-15 07:11:58.182000128
coach,exit,122,2017-09-15 07:11:58.182000128
team,competition,123,2017-09-15 17:34:31.433999872
competition,badges,123,2017-09-15 17:35:01.243000064
badges,exit,123,2017-09-15 17:35:01.243000064
track,exit,124,2017-09-16 06:04:41.664999936
coach,exit,125,2017-09-16 07:01:59.440999936
track,route,126,2017-09-16 08:23:30.660999936
route,track,126,2017-09-16 08:23:46.791000064
track,team,126,2017-09-16 08:23:50.633999872
team,exit,126,2017-09-16 08:23:50.633999872
coach,exit,127,2017-09-16 09:01:55.758000128
competition,exit,128,2017-09-16 10:08:38.360000000
competition,coach,129,2017-09-16 11:59:35.272999936
coach,competition,129,2017-09-16 12:00:11.566000128
competition,coach,129,2017-09-16 12:00:20.606000128
coach,team,129,2017-09-16 12:00:27.185999872
team,competition,129,2017-09-16 12:02:16.108999936
competition,routes,129,2017-09-16 12:02:19.648999936
routes,route,129,2017-09-16 12:02:34.897999872
route,routes,129,2017-09-16 12:02:56.113999872
routes,route,129,2017-09-16 12:03:02.363000064
route,routes,129,2017-09-16 12:03:17.436999936
routes,badges,129,2017-09-16 12:03:23.363000064
badges,exit,129,2017-09-16 12:03:23.363000064
coach,competition,130,2017-09-17 06:13:41.328000000
